Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,80.400002,80.730003,79.110001,79.459999,72.937965,5872500
2019-03-05,79.379997,79.900002,78.720001,78.910004,72.433113,5933100
2019-03-06,79.129997,79.129997,77.559998,78.089996,71.680405,5293200
2019-03-07,77.769997,79.120003,77.440002,78.239998,71.818108,6642500
2019-03-08,77.669998,78.040001,77.089996,77.580002,71.212280,6189100
2019-03-11,77.570000,78.309998,77.269997,78.080002,71.671242,8078100
2019-03-12,78.480003,79.139999,78.050003,78.739998,72.277069,6128800
2019-03-13,78.919998,79.300003,78.150002,78.930000,72.451469,5984500
2019-03-14,79.000000,80.400002,78.410004,79.949997,73.387749,6161800
2019-03-15,80.059998,81.459999,79.110001,81.339996,74.663643,12751100
2019-03-18,81.339996,81.750000,80.279999,80.650002,74.030296,5550100
2019-03-19,80.330002,81.290001,79.510002,80.820000,74.186340,6335500
2019-03-20,80.720001,80.910004,80.059998,80.430000,73.828354,5360900
2019-03-21,79.879997,81.309998,79.260002,81.239998,74.571861,5159200
2019-03-22,80.779999,81.989998,79.690002,79.760002,73.213348,4992500
2019-03-25,79.500000,80.040001,78.410004,79.510002,72.983871,4008400
2019-03-26,79.849998,81.190002,79.800003,80.760002,74.131264,4921900
2019-03-27,81.000000,81.000000,79.800003,79.889999,73.332672,4006200
2019-03-28,80.330002,80.489998,79.500000,79.959999,73.396919,3082300
2019-03-29,80.080002,80.900002,79.959999,80.589996,73.975212,7105900
2019-04-01,80.980003,81.110001,79.970001,80.779999,74.149635,4759400
2019-04-02,80.889999,83.489998,80.800003,83.070000,76.251663,6355800
2019-04-03,83.620003,84.730003,82.790001,83.080002,76.260849,6083500
2019-04-04,83.040001,83.379997,82.070000,82.809998,76.013000,4827900
2019-04-05,82.820000,84.180000,82.669998,83.449997,76.600464,3996300
2019-04-08,83.699997,84.000000,82.779999,83.980003,77.086967,3499200
2019-04-09,83.769997,83.779999,82.500000,82.690002,75.902855,3712700
2019-04-10,83.199997,83.379997,82.599998,82.949997,76.141502,3641900
2019-04-11,83.199997,83.250000,81.230003,81.769997,75.058365,9094200
2019-04-12,80.669998,81.809998,79.839996,80.779999,75.132782,5011500
2019-04-15,80.959999,81.510002,80.370003,81.029999,75.365295,3495500
2019-04-16,81.110001,81.300003,80.019997,80.209999,74.602623,3624700
2019-04-17,80.099998,80.199997,77.550003,77.980003,72.528519,6817100
2019-04-18,78.059998,78.209999,76.809998,77.570000,72.147179,7784900
2019-04-22,77.599998,79.099998,77.500000,78.150002,72.686630,5358600
2019-04-23,78.150002,79.660004,77.750000,78.660004,73.160973,9920600
2019-04-24,79.230003,79.589996,78.440002,78.669998,73.170288,7056400
2019-04-25,80.050003,80.470001,76.910004,79.339996,73.793442,10442900
2019-04-26,79.669998,80.650002,79.400002,79.699997,74.128265,5790000
2019-04-29,80.459999,80.980003,79.910004,80.300003,74.686325,6444500
2019-04-30,80.680000,80.690002,78.680000,79.389999,73.839943,9367400
2019-05-01,79.599998,79.680000,78.610001,78.889999,73.374901,5231700
2019-05-02,78.730003,78.779999,77.599998,78.470001,72.984261,5206300
2019-05-03,78.720001,78.800003,78.250000,78.709999,73.207481,4527300
2019-05-06,77.750000,79.519997,77.339996,79.260002,73.719032,5413200
2019-05-07,78.599998,78.989998,77.169998,77.949997,72.500610,4275300
2019-05-08,77.949997,78.889999,77.320000,77.989998,72.537811,3820700
2019-05-09,77.510002,78.129997,76.730003,77.910004,72.463409,3792200
2019-05-10,77.449997,77.730003,75.620003,77.449997,72.035568,4731800
2019-05-13,76.300003,77.300003,76.169998,76.870003,71.496117,3858400
2019-05-14,77.160004,79.360001,77.000000,78.440002,72.956360,6365200
2019-05-15,78.510002,79.150002,77.480003,78.779999,73.272583,4795700
2019-05-16,78.980003,80.750000,78.709999,79.500000,73.942253,5404700
2019-05-17,78.529999,80.080002,78.019997,79.459999,73.905052,4756400
2019-05-20,79.019997,80.389999,78.910004,79.820000,74.239876,4395500
2019-05-21,80.330002,81.500000,80.320000,80.879997,75.225769,4841900
2019-05-22,80.510002,81.750000,79.879997,81.589996,75.886147,4219500
2019-05-23,80.389999,81.629997,80.320000,81.150002,75.476913,3299100
2019-05-24,81.089996,81.099998,79.870003,80.059998,74.463104,3872700
2019-05-28,80.000000,80.099998,77.919998,78.029999,72.575020,6557800
2019-05-29,77.570000,78.279999,77.099998,78.059998,72.602921,4182200
2019-05-30,78.519997,78.589996,77.129997,77.610001,72.184380,3533100
2019-05-31,77.309998,77.570000,76.400002,76.709999,71.347298,4003200
2019-06-03,76.629997,76.839996,73.809998,75.699997,70.407906,8434400
2019-06-04,76.139999,77.440002,75.900002,76.750000,71.384499,6447100
2019-06-05,77.410004,78.169998,76.660004,77.059998,71.672829,3804400
2019-06-06,77.160004,77.720001,76.860001,77.070000,71.682129,4032800
2019-06-07,77.489998,78.379997,77.080002,77.430000,72.016960,4829100
2019-06-10,77.459999,77.750000,76.599998,76.949997,71.570518,3969400
2019-06-11,77.489998,78.900002,77.489998,78.169998,72.705223,4210200
2019-06-12,78.250000,79.250000,78.180000,78.570000,73.077278,4165200
2019-06-13,78.930000,79.199997,78.300003,78.949997,73.430702,2924900
2019-06-14,78.949997,79.339996,78.209999,78.690002,73.188889,4075900
2019-06-17,78.400002,79.050003,78.400002,78.650002,73.151672,3083200
2019-06-18,78.879997,79.199997,77.010002,78.250000,72.779648,5433500
2019-06-19,78.400002,78.480003,77.290001,77.610001,72.184380,6147300
2019-06-20,78.239998,79.169998,78.080002,78.339996,72.863342,5347000
2019-06-21,78.150002,79.080002,76.430000,78.779999,73.272583,10516900
2019-06-24,78.410004,79.309998,77.849998,78.449997,72.965652,5182700
2019-06-25,70.470001,70.669998,65.059998,65.699997,61.106991,90131800
2019-06-26,67.239998,68.410004,66.800003,68.000000,63.246197,42093800
2019-06-27,68.160004,70.599998,68.099998,70.000000,65.106384,22129200
2019-06-28,70.580002,72.739998,70.330002,72.720001,67.636238,21381500
2019-07-01,73.500000,73.849998,72.279999,73.400002,68.268700,18105500
2019-07-02,73.199997,74.250000,72.320000,74.230003,69.040672,12862200
2019-07-03,74.349998,74.970001,73.779999,74.959999,69.719627,7434100
2019-07-05,74.650002,74.790001,72.610001,72.989998,67.887352,10854900
2019-07-08,72.519997,73.000000,70.879997,71.220001,66.241096,13487400
2019-07-09,71.180000,72.449997,70.889999,71.239998,66.259705,11832500
2019-07-10,71.580002,71.739998,70.959999,71.650002,66.641037,9170400
2019-07-11,72.300003,72.400002,69.849998,71.239998,66.259705,13001000
2019-07-12,70.300003,70.300003,68.540001,70.279999,66.363571,12903000
2019-07-15,70.309998,71.019997,69.699997,70.269997,66.354118,10253300
2019-07-16,70.150002,70.300003,69.129997,69.160004,65.305984,10141600
2019-07-17,69.330002,69.860001,68.309998,68.320000,64.512794,12205000
2019-07-18,68.570000,68.949997,68.000000,68.250000,64.446693,8573300
2019-07-19,68.139999,68.820000,68.099998,68.540001,64.720535,9806900
2019-07-22,68.500000,68.750000,67.839996,68.000000,64.210617,9961800
2019-07-23,68.000000,68.440002,67.599998,67.730003,63.955677,8025300
2019-07-24,67.769997,67.889999,66.760002,67.459999,63.700722,12595300
2019-07-25,67.459999,67.870003,66.500000,66.660004,62.945309,12403500
2019-07-26,67.639999,69.139999,67.370003,67.760002,63.984013,12259300
2019-07-29,67.870003,68.410004,66.879997,67.180000,63.436317,10117300
2019-07-30,66.919998,67.529999,66.260002,67.180000,63.436317,8143700
2019-07-31,66.910004,67.379997,65.629997,66.620003,62.907532,11300000
2019-08-01,66.930000,67.199997,65.110001,65.800003,62.133224,13106700
2019-08-02,65.500000,65.790001,65.029999,65.349998,61.708294,9653900
2019-08-05,64.980003,66.120003,64.540001,65.230003,61.594990,11618800
2019-08-06,65.269997,65.839996,64.290001,64.769997,61.160618,10248700
2019-08-07,64.379997,64.900002,63.310001,64.459999,60.867893,10532100
2019-08-08,64.790001,65.449997,64.330002,65.449997,61.802727,7427400
2019-08-09,65.370003,66.870003,64.290001,65.580002,61.925488,10893500
2019-08-12,65.239998,65.480003,64.080002,64.529999,60.933994,5724400
2019-08-13,64.860001,65.930000,64.639999,65.010002,61.387249,7082500
2019-08-14,64.500000,64.989998,63.500000,63.500000,59.961395,9373300
2019-08-15,64.120003,64.239998,62.660000,62.980000,59.470371,9195700
2019-08-16,63.509998,64.809998,63.070000,64.430000,60.839565,8348100
2019-08-19,65.040001,66.879997,64.970001,66.559998,62.850864,9826300
2019-08-20,67.379997,68.459999,66.330002,66.410004,62.709240,12043400
2019-08-21,67.339996,67.919998,66.599998,67.540001,63.776264,7615700
2019-08-22,67.870003,68.029999,66.809998,67.519997,63.757374,6495700
2019-08-23,67.279999,67.790001,65.480003,65.970001,62.293747,8904700
2019-08-26,66.430000,66.930000,66.080002,66.459999,62.756439,4841100
2019-08-27,66.669998,66.980003,65.489998,65.669998,62.010468,7591200
2019-08-28,65.570000,66.379997,65.400002,66.070000,62.388176,6872800
2019-08-29,66.730003,67.029999,65.959999,66.220001,62.529823,6011900
2019-08-30,66.400002,66.430000,65.489998,65.739998,62.076569,6415100
2019-09-03,65.779999,65.800003,64.930000,65.400002,61.755512,7915700
2019-09-04,65.669998,66.419998,64.440002,66.379997,62.680893,9618300
2019-09-05,66.639999,67.300003,66.430000,67.029999,63.294685,5602400
2019-09-06,67.260002,68.120003,67.000000,67.620003,63.851799,7502500
2019-09-09,67.959999,68.000000,66.309998,66.699997,62.983067,10310900
2019-09-10,66.070000,68.180000,65.650002,68.180000,64.380592,12155700
2019-09-11,68.379997,69.739998,68.059998,69.489998,65.617599,8369100
2019-09-12,70.760002,71.169998,70.190002,70.830002,66.882919,9560100
2019-09-13,71.150002,71.510002,70.480003,70.510002,66.580757,8135600
2019-09-16,70.370003,70.959999,69.720001,70.580002,66.646851,5992000
2019-09-17,70.510002,72.089996,70.360001,71.599998,67.610008,9013500
2019-09-18,71.680000,71.820000,70.809998,71.269997,67.298393,6252600
2019-09-19,71.400002,71.910004,71.209999,71.669998,67.676109,5541200
2019-09-20,72.000000,73.000000,72.000000,72.389999,68.355988,12968700
2019-09-23,72.330002,73.779999,72.050003,72.930000,68.865891,8092300
2019-09-24,73.830002,73.830002,72.169998,72.949997,68.884781,8223800
2019-09-25,72.879997,73.239998,72.019997,72.089996,68.072701,5922700
2019-09-26,72.949997,74.459999,72.620003,74.029999,69.904594,10324100
2019-09-27,74.209999,75.139999,73.919998,74.849998,70.678902,7677300
2019-09-30,74.949997,76.440002,74.949997,75.720001,71.500427,8315100
2019-10-01,75.889999,76.029999,72.940002,73.230003,69.149178,10910800
2019-10-02,72.889999,73.000000,71.570000,72.129997,68.110466,8380500
2019-10-03,72.059998,73.940002,72.040001,73.849998,69.734619,6228500
2019-10-04,74.220001,75.059998,73.949997,74.660004,70.499496,7007500
2019-10-07,74.720001,75.269997,74.080002,74.330002,70.187881,5163500
2019-10-08,73.879997,74.750000,73.419998,73.529999,69.432457,6121500
2019-10-09,74.070000,74.620003,73.250000,73.300003,69.215279,5851000
2019-10-10,73.220001,74.629997,73.199997,74.449997,70.301186,7329400
2019-10-11,73.970001,74.339996,73.570000,73.629997,70.540703,7164900
2019-10-14,73.650002,74.169998,73.389999,73.760002,71.707314,5040900
2019-10-15,74.199997,74.980003,73.800003,74.500000,72.426712,6028300
2019-10-16,74.379997,74.980003,74.339996,74.750000,72.669754,8288300
2019-10-17,74.989998,76.180000,74.650002,75.139999,73.048904,6811300
2019-10-18,75.239998,77.169998,75.209999,76.459999,74.332169,9480200
2019-10-21,76.879997,77.849998,75.849998,77.300003,75.148796,7839100
2019-10-22,78.050003,78.660004,77.750000,77.870003,75.702934,6062000
2019-10-23,77.790001,78.019997,77.190002,77.750000,75.586273,6136700
2019-10-24,77.839996,77.889999,76.250000,76.800003,74.662704,5699300
2019-10-25,76.389999,76.790001,76.220001,76.529999,74.400223,5495700
2019-10-28,76.669998,78.379997,76.489998,78.330002,76.150131,7146400
2019-10-29,78.110001,78.739998,77.589996,78.470001,76.286240,6391100
2019-10-30,78.510002,79.790001,78.010002,79.660004,77.443115,7219100
2019-10-31,79.709999,79.739998,78.739998,79.550003,77.336182,10003800
2019-11-01,80.029999,82.180000,79.129997,81.750000,79.474953,13354000
2019-11-04,82.949997,83.320000,82.139999,82.989998,80.680443,8922500
2019-11-05,83.169998,83.400002,81.470001,81.839996,79.562439,7474400
2019-11-06,81.769997,82.250000,80.349998,82.080002,79.795769,9302600
2019-11-07,82.209999,82.589996,81.080002,82.010002,79.727715,6560600
2019-11-08,82.099998,85.459999,82.089996,85.209999,82.838661,11364100
2019-11-11,84.949997,85.680000,83.900002,85.660004,83.276146,8726300
2019-11-12,85.599998,88.279999,85.550003,86.440002,84.034439,12165900
2019-11-13,85.739998,87.269997,85.330002,86.660004,84.248314,5798800
2019-11-14,86.480003,87.750000,85.930000,87.629997,85.191315,5425600
2019-11-15,88.099998,89.190002,87.260002,88.629997,86.163490,8036700
2019-11-18,88.339996,89.410004,88.320000,88.730003,86.260712,5772300
2019-11-19,89.260002,90.410004,88.910004,89.019997,86.542625,7504800
2019-11-20,88.720001,88.720001,86.540001,87.199997,84.773277,10933000
2019-11-21,86.790001,86.870003,85.550003,86.519997,84.112198,9614100
2019-11-22,86.639999,86.790001,85.309998,86.050003,83.655289,7784700
2019-11-25,86.849998,87.879997,86.059998,87.760002,85.317703,9522100
2019-11-26,88.150002,88.190002,86.930000,87.720001,85.278816,6431400
2019-11-27,87.860001,88.809998,87.610001,88.330002,85.871841,4711800
2019-11-29,88.000000,88.089996,87.220001,87.730003,85.288536,3042800
2019-12-02,87.839996,88.029999,87.000000,87.029999,84.608009,6526400
2019-12-03,85.959999,86.480003,85.589996,85.949997,83.558067,10054500
2019-12-04,86.180000,87.550003,86.120003,87.199997,84.773277,6174600
2019-12-05,87.250000,87.250000,86.260002,86.720001,84.306641,6072100
2019-12-06,87.209999,87.709999,86.779999,86.980003,84.559410,6044600
2019-12-09,87.220001,87.720001,86.379997,86.440002,84.034439,5582700
2019-12-10,86.919998,86.949997,86.209999,86.559998,84.151085,7816000
2019-12-11,86.699997,87.260002,86.230003,86.699997,84.287193,7326400
2019-12-12,86.760002,88.940002,86.750000,88.730003,86.260712,6260500
2019-12-13,88.779999,89.089996,87.330002,87.839996,85.395470,5975200
2019-12-16,88.379997,90.120003,88.260002,89.430000,86.941223,6723300
2019-12-17,90.000000,90.169998,89.070000,90.080002,87.573135,8750000
2019-12-18,90.050003,90.180000,89.019997,89.330002,86.844009,6490100
2019-12-19,89.680000,89.680000,88.559998,88.769997,86.299591,5447000
2019-12-20,90.400002,91.989998,89.150002,89.290001,86.805115,19134800
2019-12-23,89.529999,90.470001,89.330002,90.250000,87.738403,5907200
2019-12-24,90.400002,90.400002,89.430000,89.849998,87.349533,1798800
2019-12-26,90.199997,90.720001,89.449997,89.830002,87.330093,4066700
2019-12-27,89.980003,90.279999,88.830002,89.199997,86.717621,4087800
2019-12-30,89.220001,89.730003,88.160004,88.519997,86.056549,7014800
2019-12-31,88.209999,88.599998,87.879997,88.540001,86.075996,4702100
2020-01-02,89.080002,89.570000,88.510002,89.550003,87.057884,5639200
2020-01-03,88.169998,89.389999,87.900002,88.699997,86.231537,5988500
2020-01-06,88.220001,89.620003,87.980003,89.400002,86.912056,6786600
2020-01-07,88.930000,89.540001,88.260002,88.889999,86.416252,7242500
2020-01-08,89.150002,90.059998,88.870003,89.519997,87.028717,7696800
2020-01-09,90.010002,90.230003,89.050003,90.209999,87.699516,7518000
2020-01-10,90.230003,90.290001,88.830002,89.059998,86.581512,8581400
2020-01-13,89.500000,89.500000,87.919998,88.519997,86.056549,9292200
2020-01-14,87.099998,88.440002,86.769997,88.199997,86.903908,8876900
2020-01-15,88.180000,89.879997,88.180000,89.260002,87.948341,8490100
2020-01-16,89.309998,89.800003,88.919998,89.260002,87.948341,7073200
2020-01-17,89.129997,89.269997,87.790001,88.000000,86.706848,10122300
2020-01-21,87.680000,88.529999,87.570000,87.989998,86.696999,13552000
2020-01-22,88.029999,88.169998,87.150002,87.209999,85.928459,6438900
2020-01-23,87.050003,87.070000,84.989998,85.269997,84.016968,12266800
2020-01-24,85.430000,85.480003,82.760002,83.540001,82.312393,13215400
2020-01-27,85.050003,85.930000,84.000000,84.019997,82.785332,13832000
2020-01-28,84.989998,84.989998,83.639999,83.769997,82.539009,8614400
2020-01-29,83.800003,84.000000,83.129997,83.199997,81.977386,5703200
2020-01-30,82.580002,82.790001,81.180000,81.779999,80.578255,10870000
2020-01-31,81.540001,81.720001,80.410004,81.019997,79.829422,13870100
2020-02-03,81.309998,82.599998,80.919998,82.300003,81.090614,10146400
2020-02-04,83.589996,84.709999,83.589996,84.360001,83.120338,8251500
2020-02-05,85.059998,87.139999,84.879997,86.629997,85.356979,10020600
2020-02-06,87.889999,87.959999,86.220001,87.180000,85.898903,7769700
2020-02-07,89.739998,92.980003,88.879997,92.290001,90.933815,19090300
2020-02-10,92.360001,95.500000,92.110001,94.750000,93.357658,13998300
2020-02-11,95.260002,97.080002,95.010002,96.000000,94.589294,10682800
2020-02-12,95.980003,97.860001,95.709999,97.790001,96.352989,10591000
2020-02-13,96.849998,97.360001,95.230003,95.349998,93.948845,10613000
2020-02-14,95.230003,95.300003,93.769997,94.050003,92.667953,11175800
2020-02-18,93.669998,94.500000,93.260002,93.610001,92.234413,9406300
2020-02-19,93.769997,94.790001,93.019997,94.139999,92.756622,6349100
2020-02-20,93.930000,94.389999,92.589996,94.230003,92.845306,5446200
2020-02-21,93.959999,95.519997,93.379997,94.959999,93.564575,6676000
2020-02-24,92.169998,93.870003,92.150002,93.139999,91.771317,10705100
2020-02-25,93.320000,93.459999,88.110001,89.180000,87.869514,11366400
2020-02-26,88.620003,91.180000,88.190002,88.410004,87.110832,9786900
2020-02-27,86.190002,89.449997,84.199997,85.419998,84.164764,14184100
2020-02-28,82.790001,85.709999,81.580002,85.709999,84.450500,18460300
2020-03-02,86.000000,88.779999,83.550003,88.690002,87.386711,12171100
2020-03-03,89.440002,90.900002,85.660004,87.570000,86.283173,12660900
2020-03-04,89.269997,91.860001,88.949997,91.750000,90.401749,16590400
2020-03-05,90.059998,91.709999,89.430000,90.610001,89.278496,9688400
2020-03-06,88.730003,89.760002,87.260002,88.820000,87.514801,12664600
2020-03-09,84.000000,87.339996,82.430000,85.269997,84.016968,15806200
2020-03-10,88.190002,88.220001,83.760002,87.529999,86.243759,12965800
2020-03-11,85.800003,86.639999,83.570000,84.849998,83.603142,10382200
2020-03-12,78.849998,81.290001,77.059998,78.610001,77.454834,19935700
2020-03-13,83.360001,86.320000,80.690002,85.370003,84.115501,21867700
2020-03-16,79.000000,82.180000,73.580002,74.269997,73.178612,20916000
2020-03-17,75.709999,77.709999,69.989998,73.019997,71.946976,23205000
2020-03-18,70.000000,71.389999,64.690002,71.029999,69.986221,23712800
2020-03-19,69.099998,74.849998,65.330002,71.059998,70.015778,19739900
2020-03-20,73.000000,73.000000,66.809998,68.820000,67.808701,18844500
2020-03-23,67.379997,67.750000,62.549999,64.500000,63.552181,19219000
2020-03-24,68.160004,71.820000,67.089996,67.489998,66.498238,18376300
2020-03-25,67.919998,70.680000,65.550003,67.910004,66.912071,20017300
2020-03-26,68.820000,74.309998,68.760002,73.830002,72.745079,15979400
2020-03-27,71.629997,75.059998,70.709999,72.669998,71.602119,12293300
2020-03-30,73.519997,76.239998,73.470001,75.239998,74.134354,10671600
2020-03-31,75.400002,77.919998,74.440002,76.190002,75.070404,20474400
2020-04-01,72.120003,73.989998,71.430000,73.419998,72.341103,12948000
2020-04-02,72.779999,75.500000,71.459999,75.129997,74.025970,8077800
2020-04-03,74.650002,75.440002,72.550003,73.370003,72.291840,8062700
2020-04-06,75.739998,77.260002,74.029999,75.730003,74.617165,10266500
2020-04-07,78.379997,78.580002,75.250000,75.389999,74.282150,11591700
2020-04-08,76.440002,78.980003,74.779999,78.559998,77.405571,12218500
2020-04-09,78.559998,80.080002,78.559998,79.750000,78.578087,9425900
2020-04-13,80.660004,81.330002,78.660004,80.300003,79.120003,9293500
2020-04-14,80.620003,82.849998,80.290001,82.129997,82.129997,11072700
2020-04-15,80.510002,83.040001,79.620003,81.820000,81.820000,8977300
2020-04-16,82.730003,83.720001,81.580002,81.860001,81.860001,10326900
2020-04-17,84.000000,84.790001,82.500000,83.449997,83.449997,10734800
2020-04-20,83.540001,85.330002,82.629997,83.989998,83.989998,9126300
2020-04-21,82.510002,82.970001,80.019997,80.360001,80.360001,9627500
2020-04-22,81.230003,82.449997,80.730003,81.470001,81.470001,7033300
2020-04-23,82.180000,83.830002,81.959999,82.040001,82.040001,7869600
2020-04-24,82.870003,83.669998,82.349998,83.589996,83.589996,6770700
2020-04-27,84.029999,84.919998,83.779999,84.690002,84.690002,9209700
2020-04-28,85.699997,85.970001,82.370003,82.760002,82.760002,8341000
2020-04-29,83.720001,84.750000,82.139999,83.760002,83.760002,8231700
2020-04-30,82.970001,83.260002,81.230003,82.199997,82.199997,15535800
2020-05-01,81.949997,84.230003,80.500000,82.839996,82.839996,12705300
2020-05-04,82.220001,82.839996,81.120003,81.860001,81.860001,6833000
2020-05-05,82.949997,86.480003,82.599998,85.370003,85.370003,10927000
2020-05-06,86.279999,88.150002,85.250000,85.419998,85.419998,17042600
2020-05-07,86.519997,86.839996,83.559998,84.220001,84.220001,11929600
